id,translated_dialog,og_response
othello-act-1-scene-1.json-line-0,"Psh! Don't say that. Iago, I am not pleased that you've known about this, especially since I've given you access to my wallet as if it were your own.","  'Sblood, but youll not hear me!  If ever I did dream of such a matter, abhor me.  "
othello-act-1-scene-1.json-line-1,"Christ, you're not listening to me! I never even dreamed of such a thing. If I did, you'd have every right to hate me.",  Thou toldst meThou didst hold him in thy hate.  
othello-act-1-scene-1.json-line-2,You told me that you hated him.,"   Despise me    If I do not. Three great ones of the city    (In personal suit to make me his lieutenant)    Off-capped to him, and by the faith of man    I know my price, I am worth no worse a place.    But he (as loving his own pride and purposes)    Evades them with a bombast circumstance    Horribly stuffed with epithets of war,    And in conclusion    Nonsuits my mediators.   For Certes, says he,    I have already chose my officer.    And what was he?    Forsooth, a great arithmetician,    One Michael Cassio, a Florentine    A fellow almost damned in a fair wife    That never set a squadron in the field,    Nor the division of a battle knows    More than a spinsterunless the bookish theoric,    Wherein the toged consuls can propose    As masterly as he.   Mere prattle without practice    Is all his soldiership. But he, sir, had th' election    And I, of whom his eyes had seen the proof    At Rhodes, at Cyprus, and on other grounds    Christian and heathen,   must be beleed and calmed    By debitor and creditor. This counter-caster    He (in good time) must his lieutenant be    And I, bless the mark, his Moorships ancient.   "
othello-act-1-scene-1.json-line-3,"If I don't hate him, you can hate me. Three noblemen of the city tipped their hats to him, making a personal plea for him to make me his lieutenant. And, truly, I know my value, and I'm worthy of that position. But of course Othello is too proud to listen and wants to do things his own way, so he speaks in circles with empty talk about war-related titles. And in the end he declines their proposal and says, ""Certainly, I have already chosen my lieutenant."" And who did he choose? A guy who's basically a mathematician, some Michael Cassio, from Florence. A man practically cursed with a wife too beautiful (whom he can't control). A man who has never commanded a squadron on the battlefield, who knows no more about battle than an old lady. He knows only theory from books, full of the talk of old geezers in togas. His military experience is all ideas, with no real action! But, sir, Othello chose this Cassio for lieutenant, not meeven though he's seen proof of my military prowess with his own eyes at Rhodes, at Cyprus, and on all sorts of battlefields in Christian and Pagan lands. Now, my career's stalled and I'm overtaken by some number cruncheran accountant! That bean-counter will be his lieutenant before too long, and meanwhile I'll be carrying around his Moorship's flag, thank you very much.","  By heaven, I rather would have been his hangman.  "
othello-act-1-scene-1.json-line-4,"God, I'd rather be his executioner than his flag-bearer.","   Why, theres no remedy. 'Tis the curse of service.    Preferment goes by letter and affection,    And not by old gradation, where each second    Stood heir to th' first.   Now sir, be judge yourself,    Whether I in any just term am affined    To love the Moor.   "
othello-act-1-scene-1.json-line-5,"Well, there's nothing I can do. That's the price of military service. Promotions are a matter of favoritismbased on whoever the leader likesnot based on rank, with a second officer stepping up to become a first officer, and so on. So now , sir, you be the judge and tell me: do I have any reason at all to love that Moor?",  I would not follow him then.  
othello-act-1-scene-1.json-line-6,If I were your position I wouldn't follow him. So why do you?,"   O sir, content you.    I follow him to serve my turn upon him.    We cannot all be masters, nor all masters    Cannot be truly followed.   You shall mark    Many a duteous and knee-crooking knave    That (doting on his own obsequious bondage)    Wears out his time much like his masters ass    For naught but provender, and when hes old, cashiered.    Whip me such honest knaves.   Others there are    Who, trimmed in forms and visages of duty,    Keep yet their hearts attending on themselves    And, throwing but shows of service on their lords,    Do well thrive by them.   And when they have lined their coats,    Do themselves homage. These fellows have some soul,    And such a one do I profess myself. For, sir,    It is as sure as you are Roderigo,    Were I the Moor, I would not be Iago.    In following him, I follow but myself.    Heaven is my judge, not I for love and duty,    But seeming so, for my peculiar end.    For when my outward action doth demonstrate    The native act and figure of my heart    In compliment extern, tis not long after    But I will wear my heart upon my sleeve    For daws to peck at. I am not what I am.   "
othello-act-1-scene-1.json-line-7,"Oh, sir, calm yourself. I'm following him only so I can turn on him later. Maybe we can't all be leaders, but not all leaders can have loyal followers. All the time you see dutiful servants kneeling to their masters and working like mules for nothing but food. And when they get old, they're fired. These honest fools deserve to be whipped! There are others who take the appearance of duty and loyalty, but stay focused on their own interests. They put on a good show of serving their lords, and thrive in their subservient positions. But once they get enough money, they serve only themselves. These are the guys who really have some soul. That's the kind of servant I am. Believe me, as sure as your name is Roderigo: if I were the Moor, I would not want Iago as my servant. In following him, I'm really just following myself. God may judge me. I swear I'm not serving Othello out of love and duty, but merely appearing to, for my own purposes. If my outward appearance showed what my real intentions are, It would be like wearing my heart on my sleeve for birds to peck at. I am not what I seem to be.",  What a full fortune does the Thick-lips oweIf he can carryt thus!  
othello-act-1-scene-1.json-line-8,"What luck  Thick-lips has, if he can pull off what he's trying to do.","   Call up her father.    Rouse him. Make after him, Poison his delight,    Proclaim him in the streets. Incense her kinsmen,    And, though he in a fertile climate dwell,    Plague him with flies.   Though that his joy be joy    Yet throw such changes of vexation ont,    As it may lose some color.   "
othello-act-1-scene-1.json-line-9,"Call up Desdemona's father.  Wake him up. We'll slander Othello in the streets, and ruin his happiness by getting his wife's family all riled up. And even if he's in a paradise right now, we'll fill it with flies. He may still be happy, but we'll douse him in so much irritation that his happiness will lose some of its luster.","  Here is her fathers house, Ill call aloud.  "
othello-act-1-scene-1.json-line-10,Here's Desdemona's father's house. I'll call out.,"  Do, with like timorous accent and dire yellAs when, by night and negligence, the fireIs spied in populous cities.  "
othello-act-1-scene-1.json-line-11,"Do it! Shout as loud and as seriously as when someone cries ""Fire!"" in a crowded city at night.","  What, ho, Brabantio! Signior Brabantio, ho!  "
othello-act-1-scene-1.json-line-12,"Hey, Brabantio! Sir Brabantio, hey!","  Awake! What, ho, Brabantio! Thieves! Thieves! Look to your house, your daughter, and your bags!Thieves! thieves!  "
othello-act-1-scene-1.json-line-13,"Brabantio, wake up! Thieves! Thieves! Check on your house, check on your daughter, check on your money bags! Thieves! Thieves!",  What is the reason of this terrible summons?What is the matter there?  
othello-act-1-scene-1.json-line-14,What's the reason for your awful shouting? What's the matter out there?,"  Signior, is all your family within?  "
othello-act-1-scene-1.json-line-15,"Sir, is all of your family safely inside?",  Are your doors locked?  
othello-act-1-scene-1.json-line-16,Are your doors locked?,"  Why, wherefore ask you this?  "
