id,translated_dialog,og_response
pericles-act-1-scene-1.json-line-0,"So, Prince of Tyre: you understand how dangerous the task you're about to attempt is?","  I have, Antiochus, and, with a soulEmbolden'd with the glory of her praise,Think death no hazard in this enterprise.  "
pericles-act-1-scene-1.json-line-1,"I do, Antiochus. But your daughter is so beautiful that I wouldn't mind if I died trying to win the right to marry her.","   Bring in our daughter, clothed like a bride,    For the embracements even of Jove himself;    At whose conception, till Lucina reign'd,    Nature this dowry gave, to glad her presence,    The senate-house of planets all did sit,    To knit in her their best perfections.   "
pericles-act-1-scene-1.json-line-2,"Bring in my daughter. Put her in a wedding dress good enough for the king of the gods himself. From the time she was conceived to the time she was born, Nature worked to make her beautiful specifically for this moment of marriage, and the whole universe decided to make her as perfect as possible.","   See where she comes, apparell'd like the spring,    Graces her subjects, and her thoughts the king    Of every virtue gives renown to men!    Her face the book of praises, where is read    Nothing but curious pleasures, as from thence    Sorrow were ever razed and testy wrath    Could never be her mild companion.    You gods that made me man, and sway in love,    That have inflamed desire in my breast    To taste the fruit of yon celestial tree,    Or die in the adventure,   be my helps,    As I am son and servant to your will,    To compass such a boundless happiness!   "
pericles-act-1-scene-1.json-line-3,"Here she comes! She's as young and beautiful as the spring. She's kind to her subjects, and her noble, virtuous thoughts are well-regarded by all. Just the sight of her face makes me happyit's like all sadness and anger evaporate in her presence. The gods that created me gave me the uncontrollable desire to either be with her or die trying. Since I'm obedient to the gods, I pray they'll help me secure my future happiness!","  Prince Pericles,  "
pericles-act-1-scene-1.json-line-4,Prince Pericles,  That would be son to great Antiochus.  
pericles-act-1-scene-1.json-line-5,who has every intention of being your son-in-law,"   Before thee stands this fair Hesperides,    With golden fruit, but dangerous to be touch'd;    For death-like dragons here affright thee hard:    Her face, like heaven, enticeth thee to view    Her countless glory, which desert must gain;    And which, without desert, because thine eye    Presumes to reach, all thy whole heap must die.    Yon sometimes famous princes, like thyself,    Drawn by report, adventurous by desire,    Tell thee, with speechless tongues and semblance pale,    That without covering, save yon field of stars,    Here they stand martyrs, slain in Cupid's wars;    And with dead cheeks advise thee to desist    For going on death's net, whom none resist.   "
pericles-act-1-scene-1.json-line-6,"you see before you a beautiful woman. You can look, but don't touch! She's dangerous. Her beauty might lure you in, but if you're not deserving, you'll be killed just for trying to get a closer look.[He points to a pile of skeletons] Those former princes, like you, were drawn here by the rumors. They were looking for adventure, too. As you can see by their silence (and their bare bones), they're all casualties of love with no grave to speak of, except the stars above. Take a hint from their corpses and turn back now before it's too late.","   Antiochus, I thank thee, who hath taught    My frail mortality to know itself,    And by those fearful objects to prepare    This body, like to them, to what I must;    For death remember'd should be like a mirror,    Who tells us life's but breath, to trust it error.    I'll make my will then, and, as sick men do    Who know the world, see heaven, but, feeling woe,    Gripe not at earthly joys as erst they did;    So I bequeath a happy peace to you    And all good men, as every prince should do;    My riches to the earth from whence they came;     [To the Daughter of ANTIOCHUS]     But my unspotted fire of love to you.    Thus ready for the way of life or death,    I wait the sharpest blow, Antiochus.   "
pericles-act-1-scene-1.json-line-7,"Thanks, Antiochus, for reminding me of my own mortality. Those frightening things are preparing my body, like theirs, for the worst that could happen: death. When we remember death, it should act like a mirror, reflecting back to us the truth that life is short, and that it's a mistake to put our faith in it. I'll make my will, then, like sick men do when they've experienced the world and, near death, are both sad and resigned to give up the joys experienced on earth. I wish the best to you and to all good men (as every prince should do), and give away all my belongings. ","   Scorning advice, read the conclusion then:    Which read and not expounded, 'tis decreed,    As these before thee thou thyself shalt bleed.   "
pericles-act-1-scene-1.json-line-8,"Since you won't listen to my advice, you'll have to face the consequences: if you read the riddle and can't answer it, you'll be killed like the others before you.","  Of all say'd yet, mayst thou prove prosperous!Of all say'd yet, I wish thee happiness!  "
pericles-act-1-scene-1.json-line-9,"Of all the men who've tried, I hope you succeed! I hope this ends well for you!","   Like a bold champion, I assume the lists,    Nor ask advice of any other thought    But faithfulness and courage.    I am no viper, yet I feed    On mother's flesh which did me breed.    I sought a husband, in which labour    I found that kindness in a father:    He's father, son, and husband mild;    I mother, wife, and yet his child.    How they may be, and yet in two,    As you will live, resolve it you.    Sharp physic is the last: but, O you powers    That give heaven countless eyes to view men's acts,    Why cloud they not their sights perpetually,    If this be true, which makes me pale to read it?    Fair glass of light, I loved you, and could still,    Were not this glorious casket stored with ill:    But I must tell you, now my thoughts revolt    For he's no man on whom perfections wait    That, knowing sin within, will touch the gate.    You are a fair viol, and your sense the strings;    Who, finger'd to make man his lawful music,    Would draw heaven down, and all the gods, to hearken:    But being play'd upon before your time,    Hell only danceth at so harsh a chime.    Good sooth, I care not for you.   "
