id,translated_dialog,og_response
richard-ii-act-1-scene-1.json-line-0,"OId John of Gaunt, well-respected Lancaster : have you, according to your promise and duty, brought here your presumptuous son Henry Hereford to explain his case against the Duke of Norfolk, Thomas Mowbray, which at the time we didn't have time to hear?","  I have, my liege.  "
richard-ii-act-1-scene-1.json-line-1,"I have, my liege.","   Tell me, moreover, hast thou sounded him,    If he appeal the duke on ancient malice;    Or worthily, as a good subject should,    On some known ground of treachery in him?   "
richard-ii-act-1-scene-1.json-line-2,"Tell me, furthermore: have you asked him whether he accuses the duke because he has a grudge against him, or becauselike a good subjecthe has reason to suspect him of disloyalty?","   As near as I could sift him on that argument,    On some apparent danger seen in him    Aim'd at your highness,     no inveterate malice.   "
richard-ii-act-1-scene-1.json-line-3,"As much as I could gather, he accuses the duke because he thinks he poses a threat to your highness, not for personal reasons. ","   Then call them to our presence;     face to face,    And frowning brow to brow, ourselves will hear    The accuser and the accused freely speak   :    High-stomach'd are they both, and full of ire,    In rage deaf as the sea, hasty as fire.   "
richard-ii-act-1-scene-1.json-line-4,"Then bring them before us: we will hear the accuser and the accused make their case, face to face. They're both proud men, full of anger, and their rage makes them too hasty and quick to take offense. ","  Many years of happy days befalMy gracious sovereign, my most loving liege!  "
richard-ii-act-1-scene-1.json-line-5,"May you reign many years in happiness, my gracious King, my most loving lord! ","   Each day still better other's happiness   ;    Until the heavens, envying earth's good hap,    Add an immortal title to your crown!   "
richard-ii-act-1-scene-1.json-line-6,"May each day be happier than the one that came before, until heaven, jealous of earth's good fortune in having such a king, gives you an immortal crown after death. ","   We thank you both: yet one but flatters us,    As well appeareth by the cause you come;    Namely to appeal each other of high treason.    Cousin of Hereford, what dost thou object    Against the Duke of Norfolk, Thomas Mowbray?   "
richard-ii-act-1-scene-1.json-line-7,"We thank you both: yet one merely flatters us, since you come to accuse one another of high treason. Cousin of Hereford, what is your accusation against the Duke of Norfolk, Thomas Mowbray?","   First, heaven be the record to my speech!    In the devotion of a subject's love,    Tendering the precious safety of my prince,    And free from other misbegotten hate,    Come I appellant to this princely presence.    Now, Thomas Mowbray, do I turn to thee,    And mark my greeting well; for what I speak    My body shall make good upon this earth,    Or my divine soul answer it in heaven.    Thou art a traitor and a miscreant,    Too good to be so and too bad to live,    Since the more fair and crystal is the sky,    The uglier seem the clouds that in it fly.    Once more, the more to aggravate the note,    With a foul traitor's name stuff I thy throat;    And wish, so please my sovereign, ere I move,    What my tongue speaks my right drawn sword may prove.   "
richard-ii-act-1-scene-1.json-line-8,"First, let heaven witness my speech! I swear that I make this accusation as a devoted subject, concerned for the precious safety of my prince, and free from any other grudge or personal motive. Now, Thomas Mowbray, I turn to you, and listen closely; for what I speak, I'll prove true while I live, or my soul will answer for it in heaven. You are a traitor and a villain, too good to be so and too bad to live, since the brighter and clearer the sky, the uglier it looks when clouds fill it. Once more (the more to make my point), I throw the name of ""foul traitor"" back down your throat; and wishif it pleased my sovereignthat before I go, I might prove what I say with my sword. ","   Let not my cold words here accuse my zeal:    'Tis not the trial of a woman's war,    The bitter clamour of two eager tongues,    Can arbitrate this cause betwixt us twain;    The blood is hot that must be cool'd for this:    Yet can I not of such tame patience boast    As to be hush'd and nought at all to say:    First, the fair reverence of your highness curbs me    From giving reins and spurs to my free speech;    Which else would post until it had return'd    These terms of treason doubled down his throat.    Setting aside his high blood's royalty,    And let him be no kinsman to my liege,    I do defy him, and I spit at him;    Call him a slanderous coward and a villain:    Which to maintain I would allow him odds,    And meet him, were I tied to run afoot    Even to the frozen ridges of the Alps,    Or any other ground inhabitable,    Where ever Englishman durst set his foot.    Mean time let this defend my loyalty,    By all my hopes, most falsely doth he lie.   "
richard-ii-act-1-scene-1.json-line-9,"Don't let my cool response make me seem less passionate. A war of words, like the chatter of two gossipy women, won't resolve this dispute; blood must be spilled before this is over. But I am not so patient that I can listen to these insults and say nothing in return. First, respect for your highness stops me from speaking freelyif I could, I wouldn't stop until I'd shoved those terms of treason back down his throat. Leaving aside his royal blood and pretending he's not your cousin I defy him, spit at him, and call him a lying coward and a villain: which to prove I would give him time to run, and then follow him even to the frozen mountains of the Alps, or any other inhabitable ground where an Englishman has ever set foot. In the meantime, let this prove my loyalty: by everything I hold dear, he's a false liar. ","   Pale trembling coward, there I throw my gage,    Disclaiming here the kindred of the king,    And lay aside my high blood's royalty,    Which fear, not reverence, makes thee to except.    If guilty dread have left thee so much strength    As to take up mine honour's pawn, then stoop:    By that and all the rites of knighthood else,    Will I make good against thee, arm to arm,    What I have spoke, or thou canst worse devise.   "
