id,translated_dialog,og_response
richard-iii-act-1-scene-1.json-line-0,"Now the winter of our troubles has been transformed into glorious summer by the ascension of my brother, King Edward IV, son of the house of York. All the clouds that had descended over our family have now been banished and returned to the sea. Now we wear wreaths of victory on our foreheads, and we've hung up our armor as decoration. We've exchanged the sound of our battle trumpets for the sound of joyful greetings, and our death marches have become stately dances. The grim, warlike expressions on our faces have smoothed. And instead of charging on armored horses to frighten our opponents, we now dance in ladies' chambers to seductive songs on the lute. But as for me, I am not made for such games of love, or to admire myself in a mirror. I was badly made, and I lack the good looks to strut in front of passing girls. Nature has cheated me out of handsome features and proper proportions. I was born deformed, unfinished, and born prematurely. I was barely half-created when I came into the world, and left so lame and misshapen that dogs bark at me as I limp past them. In such delicate times of peace, I have nothing to do. No joys help me pass the time, unless I want to see my own shadow in the sun and make speeches about my deformity. Therefore, since I cannot amuse myself by being a lover during these peaceful days, I am determined to become a villain. I have hatched plots and put dangerous plans into action, using prophecies made while drunk; slander; and stories about dreams in order to set my brother George, Duke of Clarence, against my other brother, the king, so that they hate each other. If King Edward is as true as I am clever, false, and treacherous, then this very day Clarence will be imprisoned because of a prophecy that ""G"" will murder Edward's children. But, you thoughts, hide yourselves deep down in my soul, for here comes Clarence.","  Brother, good day. What means this armèd guardThat waits upon your Grace?  "
richard-iii-act-1-scene-1.json-line-1,"Good day, brother. Why do you have all these armed guards accompanying you, your Grace?","  His majesty,Tend'ring my persons safety, hath appointed This conduct to convey me to the Tower.  "
richard-iii-act-1-scene-1.json-line-2,His Majesty was so concerned for my personal safety that he appointed this escort to conduct me to the Tower.,  Upon what cause?  
richard-iii-act-1-scene-1.json-line-3,You're being arrested? For what reason?,  Because my name is George.  
richard-iii-act-1-scene-1.json-line-4,Because my name is George.,"   Alack, my lord, that fault is none of yours.    He should, for that, commit your godfathers.    O, belike his majesty hath some intent    That you shall be new christened in the Tower.    But whats the matter, Clarence? May I know?   "
richard-iii-act-1-scene-1.json-line-5,"Alas, my lord, that's no fault of yours. If that's the problem, then our brother, the king, should arrest those who named you instead. Or maybe his Majesty intends to baptize you and rename you in the Tower. But what's the reason for this, Clarence? Will you tell me?","   Yea, Richard, when I know, for I protest    As yet I do not.   But, as I can learn,    He hearkens after prophecies and dreams,    And from the crossrow plucks the letter ""G"",    And says a wizard told him that by G    His issue disinherited should be.    And for my name of George begins with ""G"",    It follows in his thought that I am he.    These, as I learn, and such like toys as these    Have moved his Highness to commit me now.   "
richard-iii-act-1-scene-1.json-line-6,"Yes, Richard, I'll inform you when I knowbut right now I have no idea. As far as I can tell, the king has been putting a lot of trust in prophecies and dreams lately. And he picked the letter ""G"" from the alphabet, and says that a wizard told him that ""G"" will steal the throne from his children. And my name, George, begins with ""G,"" so he thinks that the prophecy refers to me. Because of this, along with other trivial reasons, his Highness feels compelled to arrest me.","   Why, this it is when men are ruled by women.    'Tis not the king that sends you to the Tower.    My Lady Grey his wife, Clarence, tis she    That tempers him to this extremity.    Was it not she and that good man of worship,    Anthony Woodeville, her brother there,    That made him send Lord Hastings to the Tower,    From whence this present day he is delivered?    We are not safe, Clarence. We are not safe.   "
richard-iii-act-1-scene-1.json-line-7,"Well, this is what happens when men are ruled by women. It isn't the king who's sending you to the Towerit's his wife, Lady Elizabeth Grey. She's the one who persuaded him to take such an extreme action. Didn't she and her brother, Anthony Woodeville, make the king send Lord Hastings to the Tower? He was released only today. We are not safe, Clarence. We are not safe.","   By heaven, I think there is no man is secure    But the queens kindred and night-walking heralds    That trudge betwixt the king and Mistress Shore.    Heard ye not what an humble suppliant    Lord Hastings was to her for his delivery?   "
richard-iii-act-1-scene-1.json-line-8,"By heaven, I think the only people who are safe are the queen's relatives, and the secret messengers who travel between the king and his mistress, Jane Shore. Didn't you hear how Lord Hastings had to beg Miss Shore in order to get released?","   Humbly complaining to her deity    Got my Lord Chamberlain his liberty.    Ill tell you what: I think it is our way,    If we will keep in favor with the king,    To be her men and wear her livery.    The jealous o'erworn widow and herself,    Since that our brother dubbed them gentlewomen,    Are mighty gossips in this monarchy.   "
richard-iii-act-1-scene-1.json-line-9,"Yes, Lord Hastings gained his liberty by humbly bowing down to that goddess. I'll tell you what: if we want to stay in the king's favor, it would be best if we act like Miss Shore's servants too. Ever since our brother declared that Miss Shore and the queen are nobility, they've become great gossips in the court.","   I beseech your Graces both to pardon me.    His majesty hath straitly given in charge    That no man shall have private conference,    Of what degree soever, with his brother.   "
