id,translated_dialog,og_response
romeo-and-juliet-act-1-scene-1.json-line-0,"Gregory, I swear we wont put up with their crap.","  No, for then we should be colliers.  "
romeo-and-juliet-act-1-scene-1.json-line-1,"No, because then wed be waste removers.","  I mean, an we be in choler, well draw.  "
romeo-and-juliet-act-1-scene-1.json-line-2,"I mean, if they make us angry, well draw our swords.","  Ay, while you live, draw your neck out of collar.  "
romeo-and-juliet-act-1-scene-1.json-line-3,"Yes, you should spend your life trying to get yourself out of any trouble that might lead to the hangmans collar.","  I strike quickly, being moved.  "
romeo-and-juliet-act-1-scene-1.json-line-4,"I hit hard, when Im motivated.",  But thou art not quickly moved to strike.  
romeo-and-juliet-act-1-scene-1.json-line-5,"But you avoid getting motivated, so you dont ever have to hit.",  A dog of the house of Montague moves me.  
romeo-and-juliet-act-1-scene-1.json-line-6,One of those Montague scoundrels would motivate me.,"  To move is to stir, and to be valiant is to stand. Therefore if thou art moved thou runnst away.  "
romeo-and-juliet-act-1-scene-1.json-line-7,"To be motivated is to act, while to be valiant is to face a fight. When youre motivated, you just run away.",  A dog of that house shall move me to stand. I will takethe wall of any man or maid of Montagues.  
romeo-and-juliet-act-1-scene-1.json-line-8,"If I saw a Montague rascal, Id face him. Id walk on the side of the street closer to the wall, and so force the Montague into the gutter.","  That shows thee a weak slave, for the weakest goes to the wall.  "
romeo-and-juliet-act-1-scene-1.json-line-9,"Then you must be a weakling, because its the weak one who gets shoved up against a wall.","  Tis true, and therefore women, being the weaker vessels, are ever thrust to the wall. Therefore I will push Montagues men from the wall, and thrust his maids to the wall.  "
romeo-and-juliet-act-1-scene-1.json-line-10,"Thats true, which is why women, being the weaker sex, get thrust up against the wall. So Ill push Montagues men into the gutter, and thrust Montague women against the wall. ",  The quarrel is between our masters and us their men.  
romeo-and-juliet-act-1-scene-1.json-line-11,"The feud is between our masters and us, their servants.","  Tis all one. I will show myself a tyrant. When I have fought with the men, I will be civil with the maids. I will cut off their heads.  "
romeo-and-juliet-act-1-scene-1.json-line-12,"Its all the same. Ill be the Montagues master. After fighting with the men, Ill be nice to the maidsIll cut off their heads.",  The heads of the maids?  
romeo-and-juliet-act-1-scene-1.json-line-13,Youll cut off the heads of the maids?,"  Ay, the heads of the maids, or their maidenheads.Take it in what sense thou wilt.  "
romeo-and-juliet-act-1-scene-1.json-line-14,The heads of the maids or their maidenheads. Interpret my comment in whichever sense you prefer.,  They must take it in sense that feel it.  
romeo-and-juliet-act-1-scene-1.json-line-15,Its the maids you rape or kill or who will have to sense it.,"  Me they shall feel while I am able to stand, andtis known I am a pretty piece of flesh.  "
romeo-and-juliet-act-1-scene-1.json-line-16,The maids will feel me as long as I can stand upright. Everyone knows Im a stud. ,"  Tis well thou art not fish. If thou hadst, thou hadst been poor-john.Draw thy tool! Here comes of the house of Montagues.  "
romeo-and-juliet-act-1-scene-1.json-line-17,"Its a good thing youre not a fish, or else youd be dried and shriveled like salted hake. Draw your sword! Here come some Montague servants.",  My naked weapon is out. Quarrel! I will back thee.  
romeo-and-juliet-act-1-scene-1.json-line-18,Ive drawn my sword out of its sheath. Fight them! Ill back you up.,  How? Turn thy back and run?  
romeo-and-juliet-act-1-scene-1.json-line-19,How? By turning your back and running?,  Fear me not.  
romeo-and-juliet-act-1-scene-1.json-line-20,Dont worry about me.,"  No, marry. I fear thee.  "
romeo-and-juliet-act-1-scene-1.json-line-21,"No, indeed, I do worry about you.",  Let us take the law of our sides. Let them begin.  
romeo-and-juliet-act-1-scene-1.json-line-22,Lets make sure the law is on our side by getting them to start the fight.,"  I will frown as I pass by, and let them take it as they list.  "
romeo-and-juliet-act-1-scene-1.json-line-23,Ill frown at them as I pass by them. How they respond is up to them.,"  Nay, as they dare. I will bite my thumb at them, which is a disgrace to them, if they bear it.  [He bites his thumb]   "
romeo-and-juliet-act-1-scene-1.json-line-24,"No, Ill bite my thumb at them. Thats an insult, and theyll be disgraced if they dont react. [He bites his thumb]","  Do you bite your thumb at us, sir?  "
romeo-and-juliet-act-1-scene-1.json-line-25,"Are you biting your thumb at us, sir?","  I do bite my thumb, sir.  "
romeo-and-juliet-act-1-scene-1.json-line-26,I am biting my thumb.,"  Do you bite your thumb at us, sir?  "
romeo-and-juliet-act-1-scene-1.json-line-27,"But are you biting your thumb at us, sir?",   [Aside to GREGORY]   Is the law of our side if I say ay?  
romeo-and-juliet-act-1-scene-1.json-line-28,[To GREGORY so that only he can hear] Will the law be on our side if I say yes? ,   [Aside to SAMPSON]  No.  
romeo-and-juliet-act-1-scene-1.json-line-29,[To SAMPSON so that only he can hear] No.,"  No, sir. I do not bite my thumb at you, sir, but I bitemy thumb, sir.  "
romeo-and-juliet-act-1-scene-1.json-line-30,"Im not biting my thumb at you, sir. But I am biting my thumb, sir.","  Do you quarrel, sir?  "
romeo-and-juliet-act-1-scene-1.json-line-31,"Do you want to fight us, sir?","  Quarrel, sir? No, sir.  "
romeo-and-juliet-act-1-scene-1.json-line-32,"Fight, sir? No, sir.","  But if you do, sir, I am for you. I serve as good a manas you.  "
romeo-and-juliet-act-1-scene-1.json-line-33,"If you do want to fight, sir, then Im up for it. My master is as good as yours.",  No better.  
romeo-and-juliet-act-1-scene-1.json-line-34,But not better than mine.,"  Well, sir.  "
romeo-and-juliet-act-1-scene-1.json-line-35,"Very well then, sir.",   [Aside to SAMPSON]  Say better. Here comes one of my masters kinsmen.  
romeo-and-juliet-act-1-scene-1.json-line-36,[To SAMPSON so that only he can hear] Say better. One of our masters kinsmen has just arrived.,"   [To ABRAHAM]  Yes, better, sir.  "
romeo-and-juliet-act-1-scene-1.json-line-37,"[To ABRAHAM] Yes, my master is better than yours, sir.",  You lie.  
romeo-and-juliet-act-1-scene-1.json-line-38,Youre a liar.,"  Draw, if you be men.Gregory, remember thy washing blow.  "
romeo-and-juliet-act-1-scene-1.json-line-39,"Draw your swords, if youre men. Gregory, get ready to slash them.","   [Draws his sword]  Part, fools!Put up your swords. You know not what you do.  "
romeo-and-juliet-act-1-scene-1.json-line-40,"[He takes out his sword] Break it up, fools! Sheathe your swords. You dont know what youre doing.","  What, art thou drawn among these heartless hinds?Turn thee, Benvolio. Look upon thy death.  "
