id,translated_dialog,og_response
the-taming-of-the-shrew-act-1-scene-1.json-line-0,"Tranio, because I have always longed to see Padua and its famous university, I wanted to stop here on my way to fertile Lombardy, that pleasant garden of great Italy. And now, thanks to my father's love and approval, and your own good companyhere I am. So, my trusty, dependable servant, let's rest here a while and begin a course of intellectual studies. I was born in Pisa, famous for its serious citizens, along with my father before me: Vincentio of the Bentivoli family. He was a successful merchant and world traveler, and it now seems fitting that I, Vincentio's son, brought up in Florence, should fulfill all my father's hopes for me and increase his wealth with my own virtuous deeds. And therefore, Tranio, I will study virtue for now, and that area of philosophy that discusses how to achieve happiness through virtue. But tell me what you think of all this, for I have left Pisa and come to Padua, and now I feel like I've left a puddle behind and jumped into an ocean, hoping to quench my thirst.","      Mi perdonato,    gentle master mine.    I am in all affected as yourself,    Glad that you thus continue your resolve    To suck the sweets of sweet philosophy.    Only, good master, while we do admire    This virtue and this moral discipline,    Lets be no stoics nor no stocks, I pray,    Or so devote to Aristotles checks    As Ovid be an outcast quite abjured.    Balk logic with acquaintance that you have,    And practice rhetoric in your common talk;    Music and poesy use to quicken you;    The mathematics and the metaphysics    Fall to them as you find your stomach serves you.    No profit grows where is no pleasure ta'en.    In brief, sir, study what you most affect.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-1,"Pardon me, my gentle master. I agree with everything you've said, and I'm glad that you've followed through with your decision to enjoy all the pleasures of sweet philosophy. Only, good master, while we're studying all this admirable virtue and moral discipline, let's not become stoics or stocks, and let's not focus on Aristotle's restraints so much that we forget to read Ovid. Practice your logic with the friends you have, and use rhetoric in everyday talk. Stimulate yourself with music and poetry. And as for mathematics and metaphysicsfollow your appetite, and only study what you can stomach. You'll gain no profit from something you take no pleasure in. In short, sir, study what you enjoy.","   Gramercies, Tranio, well dost thou advise.    If, Biondello, thou wert come ashore,    We could at once put us in readiness    And take a lodging fit to entertain    Such friends as time in Padua shall beget.    But stay awhile. What company is this?   "
the-taming-of-the-shrew-act-1-scene-1.json-line-2,"Many thanks, Tranio, for the good advice. If Biondello would come ashore, we could get ready at once and find a place to stay. Then we would have a place to entertain the friends we'll make here in Padua. But wait a minute. Who are all these people?","  Master, some show to welcome us to town.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-3,"Master, maybe it's a gathering to welcome us to town.","   Gentlemen, importune me no farther,    For how I firmly am resolved you know    That is, not to bestow my youngest daughter    Before I have a husband for the elder.  If either of you both love Katherina,Because I know you well and love you wellLeave shall you have to court her at your pleasure.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-4,"Gentlemen, stop pestering me about this. You know that my mind is made up. I won't let my younger daughter marry until I've found a husband for the elder one. I know and like both of you, so if either of you loves Katherine, then you have my permission to court her as you please.","  To cart her, rather. Shes too rough for me.There, there, Hortensio, will you any wife?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-5,"To cart her, is more likely.","   [To BAPTISTA]  I pray you, sir, is it your willTo make a stale of me amongst these mates?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-6,"[To BAPTISTA] Please, sir, is it your intention to make a laughingstock of me in front of these mates?","  Mates, maid? how mean you that? No mates for you Unless you were of gentler, milder mold.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-7,"""Mates,"" girl? What do you mean by that? You won't have any mates until you improve your temper.","   I' faith, sir, you shall never need to fear.    I wis it is not halfway to her heart.    But if it were, doubt not her care should be    To comb your noddle with a three-legged stool    And paint your face and use you like a fool.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-8,"Don't worry, sir, you don't need to worry about being my husband. Indeed, marriage doesn't appeal to my heart. But even if it did, the only thing I'd want to do with you is knock you on the head with a three-legged stool, scratch up your face, and make you my fool.","  From all such devils, good Lord, deliver us!  "
the-taming-of-the-shrew-act-1-scene-1.json-line-9,May God preserve us from all devils like her!,"  And me too, good Lord!  "
the-taming-of-the-shrew-act-1-scene-1.json-line-10,"And me too, good Lord!","   [aside to  LUCENTIO  ]  Husht, master, heres some good pastime toward.That wench is stark mad or wonderful froward.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-11,"[So only LUCENTIO can hear] Keep quiet master, here's some entertainment for us. That girl is either insane or incredibly disobedient.","   [aside to  TRANIO  ]  But in the others silence do I seeMaids mild behavior and sobriety.Peace, Tranio.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-12,"[So only TRANIO can hear] But her sister is silent, and seems to have a proper girl's mildness and obedience. Quiet, Tranio.","   [aside to  LUCENTIO  ]  Well said, master. Mum, and gaze your fill.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-13,"[So only LUCENTIO can hear] You're right, master. Let's keep quiet and enjoy the sight.","   [To  GREMIO  and  HORTENSIO  ]  Gentlemen, that I may soon make good What I have saidBianca, get you in,And let it not displease thee, good Bianca,For I will love thee ne'er the less, my girl.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-14,"[To GREMIO and HORTENSIO] Gentlemen, I want to make good on what I've saidso Bianca, go inside. And don't let this make you unhappy, good Bianca, for I'll never love you any less, my girl.","  A pretty peat! It is bestPut finger in the eye, an she knew why.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-15,"What a spoiled pet! If she knew what she was doing, she would have put on a show of weeping.","   Sister, content you in my discontent.    Sir, to your pleasure humbly I subscribe.  My books and instruments shall be my company,On them to look and practice by myself.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-16,"Sister, let yourself be happy in my unhappiness. Sir, I will humbly obey your will. My books and musical instruments will be my companions. I will read and practice by myself.","  Hark, Tranio! Thou mayst hear Minerva speak.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-17,"Listen, Tranio! It sounds like Minerva speaking .","  Signior Baptista, will you be so strange?Sorry am I that our goodwill effectsBiancas grief.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-18,"Sir Baptista, will you really act so unnaturally? I'm sorry that our good will towards Bianca should cause her grief.","  Why will you mew her up,Signior Baptista, for this fiend of hellAnd make her bear the penance of her tongue?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-19,"Why would you cage her up in place of this fiend from hell, Sir Baptista, and punish her for her sister's tongue?","  Gentlemen, content ye. I am resolved.Go in, Bianca.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-20,"Gentleman, calm down. I've made my decision, and I can't be swayed.Go inside, Bianca.","   And for I know she taketh most delight    In music, instruments, and poetry,    Schoolmasters will I keep within my house,    Fit to instruct her youth. If you, Hortensio,    Or, Signior Gremio, you know any such,    Prefer them hither,   for to cunning men    I will be very kind, and liberal    To mine own children in good bringing up.   And so farewell.Katherina, you may stay,For I have more to commune with Bianca.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-21,"And I know that she loves music, playing her instruments, and poetry, so I'll keep tutors in my house to instruct her. If either of you, Hortensio and Sir Gremio, know of any good tutors, then recommend them to me. I'll pay well for good teachers, and won't spare anything in giving my children a good education. So farewell.Katherine, you may stay. I have more to talk about with Bianca.","  Why, and I trust I may go too, may I not? What, shall Ibe appointed hours as though, belike, I knew not what to take and what to leave, ha?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-22,"Well, I can go too, can't I? What, do I have to start making appointments now, as if I didn't know when to come and go?","   You may go to the devils dam! Your gifts are so good heres none will hold you.   Their love is not so great, Hortensio, but we may blow our nails together and fast it fairly out.   Our cakes dough on both sides. Farewell.   Yet for the love I bear my sweet Bianca, if I can by any means light on a fit man to teach her that wherein she delights, I will wish him to her father.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-23,"You can go straight to the devil! No one here can stand your ""gifts.""","   So will I, Signior Gremio. But a word, I pray.  Though the nature of our quarrel yet never brooked parle, know now upon advice, it toucheth us both, that we may yet again have access to our fair mistress  and be happy rivals in Biancas love, to labor and effect one thing specially.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-24,"So will I, Sir Gremio. But wait, let me have a word with you first, please. Though we've always been opponents, never allies, when you think about it, it's now important to us both that we regain access to our fair mistress, so that we can once again be friendly rivals competing for Bianca's love. But first we have to work to achieve one thing.","  Whats that, I pray?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-25,And what's that?,"  Marry, sir, to get a husband for her sister.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-26,"Well, sir, to get a husband for her sister.",  A husband? A devil!  
the-taming-of-the-shrew-act-1-scene-1.json-line-27,A husband? A devil!,  I say a husband.  
the-taming-of-the-shrew-act-1-scene-1.json-line-28,I say a husband.,"  I say a devil. Thinkst thou, Hortensio, though her father be very rich, any man is so very a fool to be married to hell?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-29,"I say a devil. Do you really think, Hortensio, that any man is foolish enough to marry hell itselfeven if her father is very rich?","   Tush, Gremio. Though it pass your patience and mine to endure her loud alarums, why, man, there be good fellowsin the world,   an a man could light on them, would take her with all faults, and money enough.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-30,"Hush, Gremio. Even though you and I don't have the patience to put up with her loud cries, why, man, there are good fellows in this world, if we could only find them, who would take her with all her faultsand enough money.",  I cannot tell. But I had as lief take her dowry with this condition: to be whipped at the high cross every morning.  
the-taming-of-the-shrew-act-1-scene-1.json-line-31,I'm not sure. I would rather take her dowry and be whipped in public every morning than have to put up with her.,"   Faith, as you say, theres small choice in rotten apples.   But come, since this bar in law makes us friends, it shall be so far forth friendly maintained till by helping Baptistas eldest daughter to a husband    we set his youngest free for a husband, and then have tot afresh.   Sweet Bianca! Happy man be his dole! He thatruns fastest gets the ring. How say you, Signior Gremio?   "
the-taming-of-the-shrew-act-1-scene-1.json-line-32,"Well, as you say, it's a choice between two evils. But come, since this great obstacle makes us allies, let's be friends until we can find a husband for Baptista's elder daughter. Then we'll set the younger daughter free to be courted, and we can resume our competition. Sweet Bianca! Happy is the man who wins you! To the victor go the spoils. What do you say, Sir Gremio?","  I am agreed, and would I had given him the best horse in Padua to begin his wooing that would thoroughly woo her, wed her, and bed her, and rid the house of her! Come on.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-33,"I agree with this plan. If we can find the right man, I'd give him the best horse in Padua to start wooing Katherine immediately, marry her, take her to bed, and rid the house of her! Come on.","  I pray, sir, tell me, is it possibleThat love should of a sudden take such hold?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-34,"Please tell me, sir, is it possible that love could overpower a person so suddenly?","   O Tranio, till I found it to be true,    I never thought it possible or likely.    But see, while idly I stood looking on,    I found the effect of love in idleness    And now in plainness do confess to thee    That art to me as secret and as dear    As Anna to the Queen of Carthage was,    Tranio,   I burn, I pine, I perish, Tranio,    If I achieve not this young modest girl.    Counsel me, Tranio, for I know thou canst.    Assist me, Tranio, for I know thou wilt.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-35,"Oh Tranio, I never thought it possible or likely until it happened to me. But see, while I stood here watching this unfold, I suddenly found myself struck with love. You are as trustworthy and dear to me as Anna was to Dido, Queen of Carthage, so I must plainly confess to you, Tranio: I'm on fire, I'm burning, I'm filled with longing. TranioI'll die if I can't win this modest young girl for myself. Advise me, Tranio, for I know you can. Help me, Tranio, for I know you will.","   Master, it is no time to chide you now.    Affection is not rated from the heart.    If love have touched you, naught remains but so:     Redime te captum quam queas minimo.    "
the-taming-of-the-shrew-act-1-scene-1.json-line-36,"Master, now's not the time to scold you. Affection can't be driven out of the heart. If love has really touched you, then there's only one thing to be done. As the Latin grammar book says, ""Ransom yourself from captivity as cheaply as you can.""","  Gramercies, lad, go forward. This contents.The rest will comfort, for thy counsels sound.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-37,"Many thanks, friend. Go on. This is helping. Your advice is good, so I know the rest of it will comfort me.","  Master, you looked so longly on the maid, Perhaps you marked not whats the pith of all.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-38,"Master, you spent so much time looking at the girl that you might have missed the heart of the matter here.","   Oh yes, I saw sweet beauty in her face    Such as the daughter of Agenor had,    That made great Jove to humble him to her hand    When with his knees he kissed the Cretan strand.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-39,"Oh yes, I saw the sweet beauty in her face, just like that of Europa, the daughter of Agenorbeauty that made even the great god Jove fall in love and humble himself, falling to his knees and kissing the ground on that beach in Crete.",  Saw you no more? Marked you not how her sisterBegan to scold and raise up such a stormThat mortal ears might hardly endure the din?  
the-taming-of-the-shrew-act-1-scene-1.json-line-40,Is that all you saw? Didn't you notice how her sister began to scold and cause such a ruckus that human ears could hardly endure the noise?,"  Tranio, I saw her coral lips to moveAnd with her breath she did perfume the air. Sacred and sweet was all I saw in her.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-41,"Tranio, I saw her coral-pink lips move, and her breath perfume the air. Everything I saw in her was holy and sweet.","   [aside]   Nay, then, tis time to stir him from his trance.    I pray, awake, sir! If you love the maid,    Bend thoughts and wits to achieve her.   Thus it stands:    Her eldest sister is so curst and shrewd    That till the father rid his hands of her,    Master, your love must live a maid at home,    And therefore has he closely mewed her up,    Because she will not be annoyed with suitors.   "
the-taming-of-the-shrew-act-1-scene-1.json-line-42,"[To himself] Well, then, it's time to wake him up from his trance.","  Ah, Tranio, what a cruel fathers he! But art thou not advised, he took some careTo get her cunning schoolmasters to instruct her?  "
the-taming-of-the-shrew-act-1-scene-1.json-line-43,"Ah, Tranio, what a cruel father he is! But didn't you hear how he wanted to hire good tutors to instruct her?","  Ay, marry, am I, sir; and now tis plotted!  "
the-taming-of-the-shrew-act-1-scene-1.json-line-44,"Yes, I did, sirand now I've got a plan!","  I have it, Tranio!  "
the-taming-of-the-shrew-act-1-scene-1.json-line-45,"I have it, Tranio!","  Master, for my hand,Both our inventions meet and jump in one.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-46,"Master, I think we both had the same idea at the same time.",  Tell me thine first.  
