id,translated_dialog,og_response
the-tempest-act-1-scene-1.json-line-0,Boatswain! ,"  Here, master. What cheer?  "
the-tempest-act-1-scene-1.json-line-1,"Here I am, sir. What do you need?","  Good, speak to th' mariners. Fall to t yarely, or we run ourselves aground. Bestir, bestir.  "
the-tempest-act-1-scene-1.json-line-2,"Good man, speak to the sailors to get them working harder. Do it quickly, or were going to be shipwrecked. Move, move!","  Heigh, my hearts! Cheerly, cheerly, my hearts! Yare! Yare!Take in the topsail. Tend to th' masters whistle. Blow, till thou burst thy wind, if room enough!  "
the-tempest-act-1-scene-1.json-line-3,"Come on, my boys! Cheer up, cheer up, my boys! Quickly! Quickly! Pull down the topmost sail. Follow the masters whistled commands. Blow, you wind, until you have nothing left to blast! Well survive as long as we have enough room to maneuver without running aground.","  Good Boatswain, have care. Wheres the Master?Play the men.  "
the-tempest-act-1-scene-1.json-line-4,"Good Boatswain, be careful! Wheres the Master? Urge these men to work harder.","  I pray now, keep below.  "
the-tempest-act-1-scene-1.json-line-5,"I ask you, please stay below deck now.","  Where is the Master, Boatswain?  "
the-tempest-act-1-scene-1.json-line-6,"Where is the Master, Boatswain?",  Do you not hear him? You mar our labor. Keep your cabins.You do assist the storm.  
the-tempest-act-1-scene-1.json-line-7,Cant you hear him shouting commands? Youre interfering with our work. Stay in your cabins. Youre helping the storm.,"  Nay, good, be patient.  "
the-tempest-act-1-scene-1.json-line-8,"Please be calm, my good man.","  When the sea is. Hence! What cares these roarers for the name of king? To cabin, silence! Trouble us not.  "
the-tempest-act-1-scene-1.json-line-9,Ill be calm when the sea is. Get out of here! These waves dont care that someone here is a king. Get to your cabins and be quiet! Stop bothering us.,"  Good, yet remember whom thou hast aboard.  "
the-tempest-act-1-scene-1.json-line-10,"Good man, please remember whom youve got on board.","   None that I more love than myself. You are a councilor.If you can command these elements to silence and work the peace of the present, we will not hand a rope more.   Use your authority. If you cannot, give thanks you have lived so long and make yourself ready in your cabin for the mischance of the hour, if it so hap.   Cheerly, good hearts!   Out of our way, I say.   "
the-tempest-act-1-scene-1.json-line-11,"Not one person that I care about more than myself. Youre a kings advisor. If you can order the storm to stop, or negotiate a peace with it, we sailors will all stop working with our ropes and take a rest. Use your authority and do it. If you cant, be thankful that youve lived as long as you have, and go to your cabin and prepare yourself to face death, should the worst happen. [To SAILORS] Work, my boys! [To GONZALO] Now, Im telling you, get out of our way.","   I have great comfort from this fellow. Methinks he hathno drowning mark upon him. His complexion is perfect gallows. Stand fast, good Fate, to his hanging.   Make therope of his destiny our cable, for our own doth little advantage. If he be not born to be hanged, our case is miserable.   "
the-tempest-act-1-scene-1.json-line-12,"That man makes me feel a lot more confident. It seems to me that he doesnt look like hes fated to die by drowning. Instead he looks like hes destined to die by hanging. Good Fate, hold strong, and make sure that man survives this storm so that one day he can hanged. May the rope fated to hold him by the neck save us, because the ropes we have on the ship dont seem to be helping us much. If hes not fated to be hanged, then things look bleak for us.","  Down with the topmast! Yare, lower, lower! Bring her totry wi' th' main course.  "
the-tempest-act-1-scene-1.json-line-13,"Bring down the top sail! Quickly, lower, lower! Bring the ship in line with the wind using the main sail.",  A plague upon this howling! They are louder than the weather or our office.  
the-tempest-act-1-scene-1.json-line-14,Curse those men shouting below decks! Theyre louder than the storm and distracting us from our duties.,  Yet again? What do you here? Shall we give o'er and drown?Have you a mind to sink?  
the-tempest-act-1-scene-1.json-line-15,Youre up on deck again? What are you doing here? Should we just give up and drown? Are you in the mood to sink?,"  A pox o' your throat, you bawling, blasphemous, incharitable dog!  "
the-tempest-act-1-scene-1.json-line-16,"Curse you! Shut up, you wimpy, offensive, ungenerous dog!","  Work you, then.  "
the-tempest-act-1-scene-1.json-line-17,"Do some work, then.","  Hang, cur! Hang, you whoreson insolent noisemaker! We are less afraid to be drowned than thou art.  "
the-tempest-act-1-scene-1.json-line-18,"Go hang yourself, you rascal! Hang yourself, you loud, disrespectful bastard! Were less afraid of drowning than you are.",  Ill warrant him for drowning though the ship were no stronger than a nutshell and as leaky as an unstanched wench.  
the-tempest-act-1-scene-1.json-line-19,"I guarantee hell never drown, not even if the ship were as fragile as a nutshell and as leaky as a menstruating woman.","  Lay her a-hold, a-hold! Set her two courses off to sea again.Lay her off!  "
the-tempest-act-1-scene-1.json-line-20,Turn the ship close to the wind! Set both sails to push us back out to sea! Push her away from the land!,"  All lost! To prayers, to prayers, all lost!  "
