id,translated_dialog,og_response
the-winters-tale-act-1-scene-1.json-line-0,"Camillo, if, in your duties as a servant to the king, you ever happen to visit Bohemia (as I'm visiting Sicily now), you'll see how different our two countries are.","  I think, this coming summer, the King of Siciliameans to pay Bohemia the visitation which he justly owes him.  "
the-winters-tale-act-1-scene-1.json-line-1,I think the King of Sicily is planning to visit the King of Bohemia this coming summer (as he should).,  Wherein our entertainment shall shame us we will bejustified in our loves; for indeed  
the-winters-tale-act-1-scene-1.json-line-2,"The parties we throw might not be much to be proud of, but we make up for it with heart! Seriously",  Beseech you  
the-winters-tale-act-1-scene-1.json-line-3,"Oh, come on","   Verily, I speak it in the freedom of my knowledge:    we cannot with such magnificencein so rareI know not what to say.     We will give you sleepy drinks, that your senses, unintelligent of our insufficience, may, though they cannot praise us, as little accuse us.   "
the-winters-tale-act-1-scene-1.json-line-4,"No, really, I'm being honestwe can't compete with such over-the-top, such amazingI don't even know what to say. We'll have to spike your drinks so that you get really groggy and won't be able to compliment or criticize our party.",  You pay a great deal too dear for what's given freely.  
the-winters-tale-act-1-scene-1.json-line-5,You don't have to pay us back for anything; everything we give is a gift.,"  Believe me, I speak as my understanding instructs meand as mine honesty puts it to utterance.  "
the-winters-tale-act-1-scene-1.json-line-6,I'm only saying what I know to be true. I'm being completely honest with you.,"   Sicilia cannot show himself over-kind to Bohemia.    They were trained together in their childhoods; and    there rooted betwixt them then such an affection,    which cannot choose but branch now.   Since their    more mature dignities and royal necessities made    separation of their society,   their encounters,    though not personal, have been royally attorneyed    with interchange of gifts, letters, loving    embassies;   that they have seemed to be together,    though absent, shook hands, as over a vast, and    embraced, as it were, from the ends of opposed    winds.   The heavens continue their loves!   "
the-winters-tale-act-1-scene-1.json-line-7,"It would be impossible for the King of Sicily to be too kind to the King of Bohemia. They went to school together when they were kids and became really close, though, naturally, they've grown apart since. Once they reached adulthood and were crowned as kings, they had to attend to business in their respective countries. Though they haven't been able to meet in person, they've exchanged gifts and letters and have sent servants on their behalf. They haven't really been together, of course, but it's as if they were shaking hands or hugging from opposite sides of the globe. God bless their friendship!",   I think there is not in the world either malice or    matter to alter it.   You have an unspeakable    comfort of your young prince Mamillius:   it is a    gentleman of the greatest promise that ever came    into my note.   
the-winters-tale-act-1-scene-1.json-line-8,"I don't think anything in the world could change it. You're so lucky to have your young prince, Mamillius. He's the most promising kid I've ever met.","   I very well agree with you in the hopes of him:   it    is a gallant child; one that indeed physics the    subject, makes old hearts fresh:   they that went on    crutches ere he was born desire yet their life to    see him a man.   "
the-winters-tale-act-1-scene-1.json-line-9,"I couldn't agree with you more; I have high expectations for him. He's a great kidlike chicken soup for the soul, he keeps us old folks young. The Sicilians who were old and in wheelchairs before he was even born are hoping they live to see him grow up.",  Would they else be content to die?  
the-winters-tale-act-1-scene-1.json-line-10,"Otherwise, would they be happy to die?",  Yes; if there were no other excuse why they shoulddesire to live.  
the-winters-tale-act-1-scene-1.json-line-11,"Yes, if they had nothing else to live for.","  If the king had no son, they would desire to liveon crutches till he had one.  "
the-winters-tale-act-1-scene-2.json-line-0,"It's been nine months since I left my throne in Bohemia without a care in the world. I'd be happy to stay another nine months, brother, except that I would owe you forever. All I can repay you with are my thanks! That being said, I'll have to multiply my single ""thank you"" into many thousands more.",  Stay your thanks a while;And pay them when you part.  
the-winters-tale-act-1-scene-2.json-line-1,"Oh, stop thanking me. You can ""pay"" me when you leave.","   Sir, that's to-morrow.    I am question'd by my fears, of what may chance    Or breed upon our absence;   that may blow    No sneaking winds at home, to make us say    'This is put forth too truly:'   besides, I have stay'd    To tire your royalty.   "
the-winters-tale-act-1-scene-2.json-line-2,"I'm leaving tomorrow, sir. I'm worried about what might have happened in Bohemia while I've been goneunfavorable winds may be blowing, if you know what I mean. Besides, I've over-stayed my welcome here and I've worn you out.","  We are tougher, brother,Than you can put us to't.  "
