id,translated_dialog,og_response
timon-of-athens-act-1-scene-1.json-line-0,Hello.,  I am glad you're well.  
timon-of-athens-act-1-scene-1.json-line-1,It's good to see you.,  I have not seen you long: how goes the world?  
timon-of-athens-act-1-scene-1.json-line-2,It's been a while. How is everything in your world?,"  It wears, sir, as it grows.  "
timon-of-athens-act-1-scene-1.json-line-3,"Up and down, up and down.","   Ay, that's well known:    But what particular rarity?   what strange,    Which manifold record not matches? See,    Magic of bounty! all these spirits thy power    Hath conjured to attend.   I know the merchant.   "
timon-of-athens-act-1-scene-1.json-line-4,"So they say. But how weird is thishave you ever seen anything like it? Look at how amazing wealth and generosity are, how they can summon all these people to attend to them. I know this merchant.",  I know them both; th' other's a jeweller.  
timon-of-athens-act-1-scene-1.json-line-5,I know both of them. The other one is a jeweler.,"  O, 'tis a worthy lord.  "
timon-of-athens-act-1-scene-1.json-line-6,"Such a worthy man, this lord.","  Nay, that's most fix'd.  "
timon-of-athens-act-1-scene-1.json-line-7,Definitely.,"  A most incomparable man, breathed, as it were,To an untirable and continuate goodness:He passes.  "
timon-of-athens-act-1-scene-1.json-line-8,"There's no one like him, almost born to be forever generous. He exceeds everyone else.",  I have a jewel here  
timon-of-athens-act-1-scene-1.json-line-9,I have a jewel right here,"  O, pray, let's see't: for the Lord Timon, sir?  "
timon-of-athens-act-1-scene-1.json-line-10,"Oh please, let's see it. Is it for the Lord Timon?","  If he will touch the estimate: but, for that  "
timon-of-athens-act-1-scene-1.json-line-11,If he will pay the price. But for that,"   [Reciting to himself]   'When we for recompense have    praised the vile,    It stains the glory in that happy verse    Which aptly sings the good.'   "
timon-of-athens-act-1-scene-1.json-line-12,"[Reciting a poem to himself] ""When we write poetry praising bad things for money, it ruins the better verse that rightly supports good things.""",  'Tis a good form.  
timon-of-athens-act-1-scene-1.json-line-13,[Looking at the jewel] It's beautiful.,"  And rich: here is a water, look ye.  "
timon-of-athens-act-1-scene-1.json-line-14,And expensive from the looks of it. Look at how it shines!,"  You are rapt, sir, in some work, some dedicationTo the great lord.  "
timon-of-athens-act-1-scene-1.json-line-15,"You are captivated by some task, writing a poetic dedication to Lord Timon.","   A thing slipp'd idly from me.    Our poesy is as a gum, which oozes    From whence 'tis nourish'd:   the fire i' the flint    Shows not till it be struck; our gentle flame    Provokes itself and like the current flies    Each bound it chafes. What have you there?   "
timon-of-athens-act-1-scene-1.json-line-16,"Something slipped my mind. Poetry is like sap that oozes from the tree it gets its nutrients from. The spark that illuminates in the flint does not reveal itself until the flint is hit with something, but our gentle flame lights itself up and runs like a current over every surface it touches. What is that right there?","  A picture, sir. When comes your book forth?  "
timon-of-athens-act-1-scene-1.json-line-17,A portrait. When will your book be published?,"  Upon the heels of my presentment, sir.Let's see your piece.  "
timon-of-athens-act-1-scene-1.json-line-18,After I have presented my poem to Timon. Let me see your painting.,  'Tis a good piece.  
timon-of-athens-act-1-scene-1.json-line-19,It's nice.,  So 'tis: this comes off well and excellent.  
timon-of-athens-act-1-scene-1.json-line-20,"Yes, it looks well made.",  Indifferent.  
timon-of-athens-act-1-scene-1.json-line-21,It's not bad.,   Admirable: how this grace    Speaks his own standing!   what a mental power    This eye shoots forth! how big imagination    Moves in this lip! to the dumbness of the gesture    One might interpret.   
timon-of-athens-act-1-scene-1.json-line-22,It is incredible how its beauty reflects the dignity of its subject! Look at the intelligence that twinkles in the eye! There is a certain imagination that moves in its lip! Even though the painting is silent I feel like I could understand what the man is saying.,  It is a pretty mocking of the life.Here is a touch; is't good?  
timon-of-athens-act-1-scene-1.json-line-23,"It is a pretty good imitation of life. Here is a nice touch, do you like it?","  I will say of it,It tutors nature: artificial strifeLives in these touches, livelier than life.  "
timon-of-athens-act-1-scene-1.json-line-24,I will admit it does represent nature well. The purpose of artlies in these touches. They're almost livelier than life itself.,  How this lord is follow'd!  
timon-of-athens-act-1-scene-1.json-line-25,Look at all the people following the lord!,  The senators of Athens: happy man!  
timon-of-athens-act-1-scene-1.json-line-26,They're Senators of Athens. How lucky is he!,"  Look, more!  "
timon-of-athens-act-1-scene-1.json-line-27,And more too!,"   You see this confluence, this great flood    of visitors.    I have, in this rough work, shaped out a man,    Whom this beneath world doth embrace and hug    With amplest entertainment:   my free drift    Halts not particularly, but moves itself    In a wide sea of wax:   no levell'd malice    Infects one comma in the course I hold;    But flies an eagle flight, bold and forth on,    Leaving no tract behind.   "
timon-of-athens-act-1-scene-1.json-line-28,"Look at this huge crowd of flooding visitors. I have in this draft of my poem drawn the outline of a man beloved and embraced by the earthly world. I do not mean to represent particular people, but work in generalities as if my tablet were an entire sea of wax. Personal grudges do not affect even the smallest details of my writing. My creative process flies forth, strong as an eagle in flight, and leaves no trace of its earthly inspirations.",  How shall I understand you?  
timon-of-athens-act-1-scene-1.json-line-29,How could I possibly understand what you're talking about?,"   I will unbolt to you.    You see how all conditions, how all minds,    As well of glib and slippery creatures as    Of grave and austere quality, tender down    Their services to Lord Timon:   his large fortune    Upon his good and gracious nature hanging    Subdues and properties to his love and tendance    All sorts of hearts; yea, from the glass-faced flatterer    To Apemantus, that few things loves better    Than to abhor himself:   even he drops down    The knee before him, and returns in peace    Most rich in Timon's nod.   "
