id,translated_dialog,og_response
titus-andronicus-act-4-scene-1.json-line-0,"Help, grandfather, help! My aunt Lavinia follows me everywhere, but I dont know why. Uncle Marcus, see how quickly she comes after me. Oh, sweet aunt, I dont know what you mean.","  Stand by me, Lucius; do not fear thine aunt.  "
titus-andronicus-act-4-scene-1.json-line-1,"Stand by me, Lucius; don't be afraid of your aunt.","  She loves thee, boy, too well to do thee harm.  "
titus-andronicus-act-4-scene-1.json-line-2,"She loves you too much to hurt you, boy.","  Ay, when my father was in Rome she did.  "
titus-andronicus-act-4-scene-1.json-line-3,"Yes, when my father was in Rome she did.",  What means my niece Lavinia by these signs?  
titus-andronicus-act-4-scene-1.json-line-4,What does my niece Lavinia mean by this sign language? ,"   Fear her not, Lucius: somewhat doth she mean:    See, Lucius, see how much she makes of thee:    Somewhither would she have thee go with her.    Ah, boy, Cornelia never with more care    Read to her sons than she hath read to thee    Sweet poetry and Tully's Orator.   "
titus-andronicus-act-4-scene-1.json-line-5,"Dont be afraid of her, Lucius; she means something. See, Lucius, how much she loves you; she wants you to go somewhere with her. Oh, boy, Cornelia never read to her sons with so much care as Lavinia reads you sweet poetry and Tullys Orator.",  Canst thou not guess wherefore she plies thee thus?  
titus-andronicus-act-4-scene-1.json-line-6,Can't you guess what she wants from you?,"   My lord, I know not, I, nor can I guess,    Unless some fit or frenzy do possess her:    For I have heard my grandsire say full oft,    Extremity of griefs would make men mad;    And I have read that Hecuba of Troy    Ran mad through sorrow: that made me to fear;    Although, my lord, I know my noble aunt    Loves me as dear as e'er my mother did,    And would not, but in fury, fright my youth:    Which made me down to throw my books, and fly    Causeless, perhaps. But pardon me, sweet aunt:    And, madam, if my uncle Marcus go,    I will most willingly attend your ladyship.   "
titus-andronicus-act-4-scene-1.json-line-7,"My lord, I dont know and I cant guess. Unless shes suffering from some fit or madness, for Ive often heard my grandfather say that extreme grief makes people mad, and Ive read that Hecuba of Troy went mad from sorrow. That made me afraidalthough, my lord, I know my noble aunt loves me as dearly as my mother ever did, and would only in madness have ever frightened meand I threw down my books and ran, but perhaps for no reason. Forgive me, sweet aunt; and madam, if my uncle Marcus comes with us, Ill gladly go with you.","  Lucius, I will.  "
titus-andronicus-act-4-scene-1.json-line-8,"Lucius, I will.","   How now, Lavinia! Marcus, what means this?    Some book there is that she desires to see.    Which is it, girl, of these? Open them, boy.    But thou art deeper read, and better skill'd    Come, and take choice of all my library,    And so beguile thy sorrow, till the heavens    Reveal the damn'd contriver of this deed.    Why lifts she up her arms in sequence thus?   "
titus-andronicus-act-4-scene-1.json-line-9,"What are you doing, Lavinia? Marcus, what does this mean? She wants to see one of these books. Which book? Open them, boy. [To LAVINIA] Youre a better reader than mecome and take any book from my library, and so distract yourself from your sorrow until the heavens reveal who did this to you. Why does she lift her arms up twice?","  I think she means that there was more than oneConfederate in the fact: ay, more there was;Or else to heaven she heaves them for revenge.  "
titus-andronicus-act-4-scene-1.json-line-10,"I think she means that there was more than one who did this; yes, there was more than one. Unless shes praying to heaven for revenge.","  Lucius, what book is that she tosseth so?  "
titus-andronicus-act-4-scene-1.json-line-11,"Lucius, which book is she searching through so frantically? ","  Grandsire, 'tis Ovid's Metamorphoses;My mother gave it me.  "
