id,translated_dialog,og_response
othello-act-5-scene-2.json-line-100,You'd better be quiet.,"   Thou hast not half that power to do me harm    As I have to be hurt. O gull! O dolt!    As ignorant as dirt! Thou hast done a deed    I care not for thy sword, Ill make thee known    Though I lost twenty lives.   Help! Help, ho! Help!    The Moor hath killed my mistress! Murder, murder!   "
the-tempest-act-1-scene-2.json-line-23,"Oh, good sir, I am.","   I pray thee, mark me.    I, thus neglecting worldly ends, all dedicated    To closeness and the bettering of my mind    With that which, but by being so retired,    O'erprized all popular rate, in my false brother    Awaked an evil nature.   And my trust,    Like a good parent, did beget of him    A falsehood in its contrary as great    As my trust was, which had indeed no limit,    A confidence sans bound. He being thus lorded,    Not only with what my revenue yielded    But what my power might else exact,   like one    Who having into truth, by telling of it,    Made such a sinner of his memory    To credit his own lie   he did believe    He was indeed the duke, out o' th' substitution    And executing th' outward face of royalty,    With all prerogative:   Hence his ambition growing    Dost thou hear?   "
twelfth-night-act-3-scene-1.json-line-52,Dear lady,"   Give me leave, beseech you. I did send,    After the last enchantment you did here,    A ring in chase of you.   So did I abuse    Myself, my servant, and, I fear me, you:    Under your hard construction must I sit,    To force that on you, in a shameful cunning    Which you knew none of yours.   What might you think?    Have you not set mine honor at the stake,    And baited it with all the unmuzzled thoughts    That tyrannous heart can think?   To one of your receiving    Enough is shown.   A cypress, not a bosom,    Hides my heart. So, let me hear you speak.   "
the-tempest-act-3-scene-1.json-line-17,Why are you crying?,"   At mine unworthiness, that dare not offer    What I desire to give, and much less take    What I shall die to want.   But this is trifling,    And all the more it seeks to hide itself    The bigger bulk it shows. Hence, bashful cunning,    And prompt me, plain and holy innocence!    I am your wife if you will marry me.    If not, Ill die your maid. To be your fellow    You may deny me, but Ill be your servant    Whether you will or no.   "
the-taming-of-the-shrew-act-2-scene-1.json-line-73,Whose tongue?,"  Yours, if you talk of tales. And so farewell.  "
the-taming-of-the-shrew-act-3-scene-1.json-line-12,Let's hear it.,"   [as CAMBIO]  Spit in the hole, man, and tune again.  "
the-taming-of-the-shrew-act-1-scene-1.json-line-15,"What a spoiled pet! If she knew what she was doing, she would have put on a show of weeping.","   Sister, content you in my discontent.    Sir, to your pleasure humbly I subscribe.  My books and instruments shall be my company,On them to look and practice by myself.  "
the-tempest-act-2-scene-2.json-line-19,"I thought that he'd been killed by a bolt of lightning. But arent you drowned, Stephano? I hope now that youre not drowned. Is the storm over? I hid under this dead monsters cloak because I was afraid of the storm. Are you actually alive, Stephano? Oh, Stephano, two of us from Naples survived the shipwreck![TRINCULO grabs STEPHANO and dances him around]","  Prithee, do not turn me about. My stomach is not constant.  "
the-winters-tale-act-1-scene-2.json-line-33,"[To himself] Too far, too far! Friendships that get too close always end with the ""friends"" having sex. I'm having a heart attack. My heart is racing, but not with excitementdefinitely not. They might as well be relaxed and open with each other here at the party, and blame it on the plentiful food and drink. But holding hands and linking fingers, and smiling stupidly at each other and sighing as if they were having an orgasmthat kind of ""party"" hurts my heart and my head.[To MAMILLIUS] Mamillius, are you my son?","  Ay, my good lord.  "
twelfth-night-act-2-scene-3.json-line-59,"Give us the facts, give us the factstell us something about him.","  Marry, sir, sometimes he is a kind of puritan.  "
