id,translated_dialog,og_response
twelfth-night-act-1-scene-1.json-line-0,"If music feeds love and makes it stronger, then keep playing music. Give me too much of it, so much that it kills my longing for love and makes it go away. Play that part againit sounded melancholy. Oh, it sounded to me like a sweet breeze blowing over a bank of violets, stealing their scent and distributing it to everyone. That's enough now, no more music. It doesn't sound as sweet as it did before. Oh spirit of love, how restless you are! You make me want to accept everything, like the sea does, but then the next minute everything seems worthless, no matter how valuable it is. Love is like a hallucinationnothing else is so imaginative and extravagant.","  Will you go hunt, my lord?  "
twelfth-night-act-1-scene-1.json-line-1,"Do you want to go hunting, my lord?","  What, Curio?  "
twelfth-night-act-1-scene-1.json-line-2,"Hunting what, Curio?",  The hart.  
twelfth-night-act-1-scene-1.json-line-3,The hart.,"   Why, so I do, the noblest that I have.    Oh, when mine eyes did see Olivia first,    Methought she purged the air of pestilence.    That instant was I turned into a hart,    And my desires, like fell and cruel hounds,    E'er since pursue me.   "
twelfth-night-act-1-scene-1.json-line-4,"I am already hunting a hart, but it's also my heart being hunted. Oh, when I first saw Olivia, it seemed to me that she purified the air with her very presence. In that instant I was transformed into a hart, and ever since then my desire for her has pursued me like a pack of cruel hunting hounds.",  How now! What news from her?  
twelfth-night-act-1-scene-1.json-line-5,What's going on? What's the news from her?,"   So please my lord, I might not be admitted,    But from her handmaid do return this answer:    The element itself, till seven years' heat,    Shall not behold her face at ample view,    But like a cloistress, she will veiled walk    And water once a day her chamber round    With eye-offending brine   all this to season    A brothers dead love, which she would keep fresh    And lasting in her sad remembrance.   "
twelfth-night-act-1-scene-1.json-line-6,"I'm sorry, my lord, they wouldn't let me enter, but Olivia's handmaid gave me this answer: the outside world won't see Olivia's face for the next seven years. She'll wear a veil like a nun, and once a day she'll water her room with her tears. All of this is to preserve her love for her dead brother, whose memory she wants to keep fresh forever.","   O, she that hath a heart of that fine frame    To pay this debt of love but to a brother,    How will she love, when the rich golden shaft    Hath killed the flock of all affections else    That live in her, when liver, brain, and heart,    These sovereign thrones, are all supplied, and filled    Her sweet perfections with one self king!    Away before me to sweet beds of flowers.    Love thoughts lie rich when canopied with bowers.   "
twelfth-night-act-1-scene-2.json-line-0,"What country is this, friends?","  This is Illyria, lady.  "
twelfth-night-act-1-scene-2.json-line-1,"This is Illyria, my lady.","   And what should I do in Illyria?    My brother he is in Elysium.    Perchance he is not drownd.What think you, sailors?   "
twelfth-night-act-1-scene-2.json-line-2,"And what should I do in Illyria? My brother is in Heaven. Or perhaps there's a chance he didn't drown. What do you think, sailors?",  It is perchance that you yourself were saved.  
twelfth-night-act-1-scene-2.json-line-3,It was only by chance that you yourself were saved.,"  O, my poor brother! And so perchance may he be.  "
twelfth-night-act-1-scene-2.json-line-4,"Oh, my poor brother! But maybe he has been saved by chance too.","   True, madam. And, to comfort you with chance,    Assure yourself, after our ship did split,    When you and those poor number saved with you    Hung on our driving boat,   I saw your brother,    Most provident in peril, bind himself,    Courage and hope both teaching him the practice,    To a strong mast that lived upon the sea,    Where, like Arion on the dolphins back,    I saw him hold acquaintance with the waves    So long as I could see.   "
twelfth-night-act-1-scene-2.json-line-5,"True, madam. And let me comfort you: when our ship was wrecked, and you and the few other survivors hung onto our drifting lifeboat, I saw your brother tie himself to the mast that was floating on the wavesacting with courage and hope in the middle of great danger. For as long as I could see him, he safely rode upon the waves like Arion on the dolphin's back.","   [giving him money]    For saying so, theres gold.    Mine own escape unfoldeth to my hope,    Whereto thy speech serves for authority,    The like of him.   Knowst thou this country?   "
twelfth-night-act-1-scene-2.json-line-6,"[Giving him money] Here's some gold to thank you for telling me this. My own escape gives me hope for my brother, and what you've told me now gives me even more reason to hope. Do you know this country?","  Ay, madam, well, for I was bred and bornNot three hours' travel from this very place.  "
twelfth-night-act-1-scene-2.json-line-7,"Yes, madam, I was born and raised less than three hours' travel from here.",  Who governs here?  
twelfth-night-act-1-scene-2.json-line-8,Who rules here?,"  A noble duke, in natureAs in name.  "
twelfth-night-act-1-scene-2.json-line-9,A duke who is as noble in his character as he is in his rank.,  What is his name?  
twelfth-night-act-1-scene-2.json-line-10,What is his name?,  Orsino.  
twelfth-night-act-1-scene-2.json-line-11,Orsino.,  Orsino. I have heard my father name him. He was a bachelor then.  
twelfth-night-act-1-scene-2.json-line-12,OrsinoI have heard my father mention him. He was a bachelor back then.,"   And so is now, or was so very late.    For but a month ago I went from hence,    And then twas fresh in murmur   as, you know,    What great ones do the less will prattle of    That he did seek the love of fair Olivia.   "
twelfth-night-act-1-scene-2.json-line-13,"And he still is, or was very recently at least. I only left here a month ago, and at that time there was a popular rumoras, you know, people gossip about the nobilitythat he was courting the fair Olivia.",  Whats she?  
twelfth-night-act-1-scene-2.json-line-14,Who's she?,"   A virtuous maid, the daughter of a count    That died some twelvemonth since,   then leaving her    In the protection of his son, her brother,    Who shortly also died,   for whose dear love,    They say, she hath abjured the company    And sight of men.   "
twelfth-night-act-1-scene-2.json-line-15,"A virtuous young woman, the daughter of a count who died a year ago. He left her in the care of his son, Olivia's brother, but the brother died soon after. They say that out of love for her brother, Olivia has stopped interacting with men altogether.","   Oh, that I served that lady    And might not be delivered to the world,    Till I had made mine own occasion mellow,    What my estate is.   "
twelfth-night-act-1-scene-2.json-line-16,"Oh, I wish that I could serve that ladythen I wouldn't have to reveal myself to the world until I was ready to identify my place in society.","  That were hard to compass,Because she will admit no kind of suit,No, not the dukes.  "
twelfth-night-act-1-scene-2.json-line-17,"That would be hard to bring about, because she won't allow anyone in to see her, not even the duke's men.","   There is a fair behavior in thee, captain,    And though that nature with a beauteous wall    Doth oft close in pollution, yet of thee    I will believe thou hast a mind that suits    With this thy fair and outward character.    I pritheeand Ill pay thee bounteously    Conceal me what I am, and be my aid    For such disguise as haply shall become    The form of my intent   . Ill serve this duke.    Thou shall present me as an eunuch to him.    It may be worth thy pains, for I can sing    And speak to him in many sorts of music    That will allow me very worth his service.    What else may hap to time I will commit.    Only shape thou thy silence to my wit.   "
twelfth-night-act-1-scene-2.json-line-18,"You seem to be a good man in both behavior and appearance, captain, and even though nature often makes beautiful people corrupt on the inside, I believe that you have a noble mind to fit your good looks and manners. Pleaseand I'll pay you well for thishelp me conceal my identity, and find me the disguise that will suit my intentions. I want to serve this duke. You will present me to him as a eunuch. It will be worth your trouble, for I can sing and speak well, and he will surely consider me for his service. What might happen after that, only time will tell. You must only match my wit with your silence and discretion.","  Be you his eunuch, and your mute Ill be.When my tongue blabs, then let mine eyes not see.  "
twelfth-night-act-1-scene-2.json-line-19,"You will be his eunuch, and I will be your mute attendant. If I tell your secret, may I lose my sight.",  I thank thee. Lead me on.  
twelfth-night-act-1-scene-3.json-line-0,"What is ailing my niece, that she reacts so strongly to her brother's death? I'm now sure that caring too much is bad for one's health.","  By my troth, Sir Toby, you must come in earlier o' nights. Your cousin, my lady, takes great exceptions to your ill hours.  "
twelfth-night-act-1-scene-3.json-line-1,"By God, Sir Toby, you must come home earlier at night. Your niece, my lady, strongly disapproves of the late hours you keep.","  Why, let her except, before excepted.  "
twelfth-night-act-1-scene-3.json-line-2,"Well, let her disapprove of meI disapprove of her.","  Ay, but you must confine yourself within the modest limits of order.  "
twelfth-night-act-1-scene-3.json-line-3,"Yes, but you must at least confine yourself within the limits of order and decency.","   Confine? Ill confine myself no finer than I am.   These clothes are good enough to drink in, and so be these boots too.   An they be not, let them hang themselves in their own straps.   "
twelfth-night-act-1-scene-3.json-line-4,"Confine myself? I'll only confine myself to these clothes I'm wearing. They're good enough to drink in, and these boots are too. And if they aren't, then let them hang themselves by their own straps.","   That quaffing and drinking will undo you:   I heard my lady talk of it yesterday, and of a foolish knight that you brought in one night here to be her wooer.   "
twelfth-night-act-1-scene-3.json-line-5,All this drinking will be your ruin: I heard my lady Olivia talking about it yesterday. She also spoke of some foolish knight you brought here one night to woo her.,"  Who, Sir Andrew Aguecheek?  "
twelfth-night-act-1-scene-3.json-line-6,"Who, Sir Andrew Aguecheek?","  Ay, he.  "
twelfth-night-act-1-scene-3.json-line-7,"Yes, him.",  Hes as tall a man as anys in Illyria.  
twelfth-night-act-1-scene-3.json-line-8,He's as tall and brave as any man in Illyria.,  Whats that to the purpose?  
twelfth-night-act-1-scene-3.json-line-9,What does that have to do with anything?,"  Why, he has three thousand ducats a year.  "
twelfth-night-act-1-scene-3.json-line-10,"Well, he has an income of three thousand ducats a year.","  Ay, but hell have but a year in all these ducats. Hesa very fool and a prodigal.  "
